[Fri Aug 22 08:20:54.305777 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://nfce/
[Fri Aug 22 08:20:54.306094 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  17. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateRowData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:150, referer: http://nfce/
[Fri Aug 22 08:20:54.306104 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  18. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->_getEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:479, referer: http://nfce/
[Fri Aug 22 08:20:54.306114 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  19. Doctrine\\ORM\\UnitOfWork->createEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:246, referer: http://nfce/
[Fri Aug 22 08:30:29.526440 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://nfce/
[Fri Aug 22 08:30:29.526496 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP Stack trace:, referer: http://nfce/
[Fri Aug 22 08:30:29.526514 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://nfce/
[Fri Aug 22 08:30:29.526525 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://nfce/
[Fri Aug 22 08:30:29.526536 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://nfce/
[Fri Aug 22 08:30:29.526547 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 08:30:29.526557 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:30:29.526567 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:30:29.526577 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://nfce/
[Fri Aug 22 08:30:29.526587 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://nfce/
[Fri Aug 22 08:30:29.526598 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 08:30:29.526608 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  10. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:30:29.526618 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:30:29.526631 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  12. DsmCommon\\Controller\\CrudController->getAllAction() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://nfce/
[Fri Aug 22 08:30:29.526652 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  13. Doctrine\\ORM\\AbstractQuery->getResult() /var/www/meunfce/module/DsmCommon/src/DsmCommon/Controller/CrudController.php:78, referer: http://nfce/
[Fri Aug 22 08:30:29.526662 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  14. Doctrine\\ORM\\AbstractQuery->execute() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:542, referer: http://nfce/
[Fri Aug 22 08:30:29.526672 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  15. Doctrine\\ORM\\Internal\\Hydration\\AbstractHydrator->hydrateAll() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:751, referer: http://nfce/
[Fri Aug 22 08:30:29.526682 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  16. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateAllData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/AbstractHydrator.php:111, referer: http://nfce/
[Fri Aug 22 08:30:29.526691 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  17. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateRowData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:150, referer: http://nfce/
[Fri Aug 22 08:30:29.526701 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  18. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->_getEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:479, referer: http://nfce/
[Fri Aug 22 08:30:29.526710 2014] [:error] [pid 3075] [client 127.0.0.1:42606] PHP  19. Doctrine\\ORM\\UnitOfWork->createEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:246, referer: http://nfce/
[Fri Aug 22 10:02:56.217214 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://nfce/
[Fri Aug 22 10:02:56.217276 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP Stack trace:, referer: http://nfce/
[Fri Aug 22 10:02:56.217295 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://nfce/
[Fri Aug 22 10:02:56.217307 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://nfce/
[Fri Aug 22 10:02:56.217318 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://nfce/
[Fri Aug 22 10:02:56.217329 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 10:02:56.217339 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 10:02:56.217349 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 10:02:56.217359 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://nfce/
[Fri Aug 22 10:02:56.217369 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://nfce/
[Fri Aug 22 10:02:56.217379 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 10:02:56.217403 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  10. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 10:02:56.217414 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 10:02:56.217425 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  12. DsmCommon\\Controller\\CrudController->getAllAction() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://nfce/
[Fri Aug 22 10:02:56.217435 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  13. Doctrine\\ORM\\AbstractQuery->getResult() /var/www/meunfce/module/DsmCommon/src/DsmCommon/Controller/CrudController.php:78, referer: http://nfce/
[Fri Aug 22 10:02:56.217445 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  14. Doctrine\\ORM\\AbstractQuery->execute() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:542, referer: http://nfce/
[Fri Aug 22 10:02:56.217455 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  15. Doctrine\\ORM\\Internal\\Hydration\\AbstractHydrator->hydrateAll() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:751, referer: http://nfce/
[Fri Aug 22 10:02:56.217465 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  16. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateAllData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/AbstractHydrator.php:111, referer: http://nfce/
[Fri Aug 22 10:02:56.217474 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  17. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateRowData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:150, referer: http://nfce/
[Fri Aug 22 10:02:56.217484 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  18. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->_getEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:479, referer: http://nfce/
[Fri Aug 22 10:02:56.217494 2014] [:error] [pid 6167] [client 127.0.0.1:44367] PHP  19. Doctrine\\ORM\\UnitOfWork->createEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:246, referer: http://nfce/
[Fri Aug 22 10:33:11.060191 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://meunfce/
[Fri Aug 22 10:33:11.060390 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP Stack trace:, referer: http://meunfce/
[Fri Aug 22 10:33:11.060459 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://meunfce/
[Fri Aug 22 10:33:11.060510 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://meunfce/
[Fri Aug 22 10:33:11.060559 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://meunfce/
[Fri Aug 22 10:33:11.060628 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://meunfce/
[Fri Aug 22 10:33:11.060679 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.060743 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.060790 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://meunfce/
[Fri Aug 22 10:33:11.060836 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://meunfce/
[Fri Aug 22 10:33:11.060882 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://meunfce/
[Fri Aug 22 10:33:11.060928 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  10. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.060975 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.060990 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  12. DsmCommon\\Controller\\CrudController->getAllAction() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://meunfce/
[Fri Aug 22 10:33:11.061001 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  13. Doctrine\\ORM\\AbstractQuery->getResult() /var/www/meunfce/module/DsmCommon/src/DsmCommon/Controller/CrudController.php:78, referer: http://meunfce/
[Fri Aug 22 10:33:11.061010 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  14. Doctrine\\ORM\\AbstractQuery->execute() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:542, referer: http://meunfce/
[Fri Aug 22 10:33:11.061021 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  15. Doctrine\\ORM\\Internal\\Hydration\\AbstractHydrator->hydrateAll() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:751, referer: http://meunfce/
[Fri Aug 22 10:33:11.061031 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  16. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateAllData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/AbstractHydrator.php:111, referer: http://meunfce/
[Fri Aug 22 10:33:11.061040 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  17. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateRowData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:150, referer: http://meunfce/
[Fri Aug 22 10:33:11.061050 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  18. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->_getEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:479, referer: http://meunfce/
[Fri Aug 22 10:33:11.061060 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  19. Doctrine\\ORM\\UnitOfWork->createEntity() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/ObjectHydrator.php:246, referer: http://meunfce/
[Fri Aug 22 10:33:11.063660 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP Fatal error:  Call to undefined method DoctrineORMModule\\Proxy\\__CG__\\DsmCommon\\Entity\\Usuario::toArray() in /var/www/meunfce/module/DsmCommon/src/DsmCommon/Entity/EntityBase.php on line 59, referer: http://meunfce/
[Fri Aug 22 10:33:11.063741 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP Stack trace:, referer: http://meunfce/
[Fri Aug 22 10:33:11.063806 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://meunfce/
[Fri Aug 22 10:33:11.063855 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://meunfce/
[Fri Aug 22 10:33:11.063903 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://meunfce/
[Fri Aug 22 10:33:11.063950 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://meunfce/
[Fri Aug 22 10:33:11.063996 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.064042 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.064089 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://meunfce/
[Fri Aug 22 10:33:11.064134 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://meunfce/
[Fri Aug 22 10:33:11.064180 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://meunfce/
[Fri Aug 22 10:33:11.064227 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  10. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.064274 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Fri Aug 22 10:33:11.064320 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  12. DsmCommon\\Controller\\CrudController->getAllAction() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://meunfce/
[Fri Aug 22 10:33:11.064366 2014] [:error] [pid 6788] [client 127.0.0.1:43622] PHP  13. DsmCommon\\Entity\\EntityBase->toArray() /var/www/meunfce/module/DsmCommon/src/DsmCommon/Controller/CrudController.php:82, referer: http://meunfce/
[Mon Aug 25 09:36:30.583427 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://meunfce/
[Mon Aug 25 09:36:30.600101 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP Stack trace:, referer: http://meunfce/
[Mon Aug 25 09:36:30.600167 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://meunfce/
[Mon Aug 25 09:36:30.600181 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://meunfce/
[Mon Aug 25 09:36:30.600194 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://meunfce/
[Mon Aug 25 09:36:30.600218 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://meunfce/
[Mon Aug 25 09:36:30.600228 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Mon Aug 25 09:36:30.600239 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://meunfce/
[Mon Aug 25 09:36:30.600248 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://meunfce/
[Mon Aug 25 09:36:30.600258 2014] [:error] [pid 3006] [client 127.0.0.1:34062] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://meunfce/
